Mes_Year,Cantidad
2019-02-01,375
2019-03-01,230
2019-04-01,1
2019-05-01,2
2019-07-01,673
2019-08-01,155
2019-09-01,206
2019-10-01,128
2019-11-01,193
2019-12-01,408
2020-01-01,437
2020-02-01,162
2020-07-01,1
2020-08-01,718
2020-09-01,93
2020-10-01,34
2020-11-01,114
2020-12-01,118
2021-01-01,111
2021-02-01,72
2021-03-01,62
2021-04-01,74
2021-05-01,69
2021-06-01,10
2021-07-01,94
2021-08-01,124
2021-09-01,73
2021-10-01,2
2021-11-01,84
2021-12-01,234
2022-02-01,156
2022-03-01,179
2022-04-01,57
2022-05-01,153
2022-06-01,63
2022-07-01,131
2022-08-01,73
2022-09-01,118
2022-10-01,70
2022-11-01,34
2022-12-01,96
2023-01-01,112
2023-02-01,121
2023-03-01,138
2023-04-01,113
2023-05-01,6
2023-06-01,36
2023-07-01,255
2023-08-01,138
2023-09-01,129
2023-10-01,2
2023-11-01,112
